Ticker Name,3-Year BETA,5-Year BETA,10-Year BETA,3-Year Standard Deviation,5-Year Standard Deviation,10-Year Standard Deviation,3-Year Sharpe,5-Year Sharpe,10-Year Sharpe,3-Year Treynor Ratio,5-Year Treynor Ratio,10-Year Treynor Ratio
BUFR.NE,0,0,0,0,0,0,0,0,0,0,0,0
HMJI.TO,0,0,0,59.55,0,0,0.39,0,0,0,0,0
FJFG.NE,0,0,0,0,0,0,0,0,0,0,0,0
SKYY.TO,0.88,0.69,0,21.75,18.42,0,-0.39,-0.24,0,-11.85,-8.85,0
SRIC.NE,0,0,0,0,0,0,0,0,0,0,0,0
IXTE.TO,0,0,0,0,0,0,0,0,0,0,0,0
FLEM.NE,0.87,0.82,0,12.83,12.71,0,0.03,-0.08,0,-0.52,-2.3,0
CANL.TO,0,0,0,0,0,0,0,0,0,0,0,0
GGAC.TO,0,0,0,0,0,0,0,0,0,0,0,0
FINN-U.NE,0,0,0,0,0,0,0,0,0,0,0,0
FINN.NE,0,0,0,0,0,0,0,0,0,0,0,0
IIMF-F.TO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IIMF.TO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TMCC.TO,0,0,0,0,0,0,0,0,0,0,0,0
ZGRN.TO,0,0,0,0,0,0,0,0,0,0,0,0
QQJR-F.TO,0,0,0,0,0,0,0,0,0,0,0,0
QQJR.TO,0,0,0,0,0,0,0,0,0,0,0,0
CCLN.NE,0,0,0,0,0,0,0,0,0,0,0,0
HBD.TO,0,0,0,28.37,27.06,26.98,0.06,-0.66,-0.3,0,0,0
XCBU-U.TO,0,0,0,0,0,0,0,0,0,0,0,0
XCBU.TO,0,0,0,0,0,0,0,0,0,0,0,0
CBCX.TO,0,0,0,0,0,0,0,0,0,0,0,0
RID.TO,0.96,0.95,0,13.69,13,0,0.35,0.15,0,4.24,1.21,0
RPD.TO,0.95,0.96,0,15.91,15.08,0,0.42,0.16,0,6.08,1.42,0
TECH-B.TO,0,0,0,0,0,0,0,0,0,0,0,0
TRVL-U.TO,0,0,0,0,0,0,0,0,0,0,0,0
PYF-U.TO,0.2,0,0,5.99,0,0,0.65,0,0,18.55,0,0
TXF-U.TO,0,0,0,0,0,0,0,0,0,0,0,0
ZMI-U.TO,0,0,0,0,0,0,0,0,0,0,0,0
ZTS.NE,0.4,0.64,0,5.9,6.9,0,-0.52,0.05,0,-8.04,0.15,0
ZNQ-U.TO,0,0,0,0,0,0,0,0,0,0,0,0
ZLU-U.TO,0.47,0.51,0.61,10.89,11.21,11.27,0.51,0.61,1.03,11.13,12.73,19.06
ZTIP.TO,0,0,0,0,0,0,0,0,0,0,0,0
BTCX-U.TO,0,0,0,0,0,0,0,0,0,0,0,0
TXF-B.TO,1.2,1.18,0,19.32,18.58,0,0.45,0.61,0,5.94,8.65,0
TDOC.TO,0,0,0,0,0,0,0,0,0,0,0,0
LIFE-B.TO,0.57,0.5,0,12.09,11.89,0,0.5,0.67,0,9.7,15.37,0
RUD.TO,0.92,0.93,0,14.18,14.68,0,0.74,0.64,0,11.09,9.39,0
TRVL.TO,0,0,0,0,0,0,0,0,0,0,0,0
HBF.TO,1,1.06,0,16.8,17.52,0,0.38,0.34,0,5.26,4.34,0
HHL.TO,0.81,0.81,0,14.29,14.72,0,0.59,0.41,0,9.82,6.34,0
HPF.TO,0.78,0.83,0,26.35,32.46,0,1.14,0.12,0,40.18,-1.93,0
XEC.TO,1.02,1.01,0.99,14.26,14.88,13.25,-0.12,0.06,0.32,-2.64,-0.11,3.51
ZMI.TO,1.01,1.06,0.95,8.95,9.39,7.23,0.32,0.26,0.45,2.5,1.91,3.27
